digits_actual,digits_predicted,len_predicted
11,12,2
5,5,1
34,34,2
2,2,1
214,214,3
7,7,1
49,49,2
16,16,2
62,62,2
21,21,2
15,135,3
289,289,3
43,43,2
241,241,3
140,140,3
340,340,3
1,1,1
494,494,3
130,130,3
35,35,2
77,77,2
437,437,3
43,43,2
143,143,3
10,10,2
3,3,1
102,102,3
39,39,2
5,5,1
31,31,2
9,9,1
4419,2413,4
33,33,2
2738,2738,4
700,700,3
63,63,2
2,2,1
45,45,2
36,36,2
7,7,1
336,336,3
173,173,3
31,31,2
7435,1435,4
17,17,2
7,7,1
347,347,3
40,40,2
243,243,3
29,29,2
80,80,2
40,40,2
260,260,3
139,139,3
83,83,2
897,897,3
83,53,2
35,35,2
21,21,2
2,2,1
9,9,1
470,470,3
274,274,3
190,1190,4
44,44,2
57,57,2
845,445,3
14,14,2
2662,2062,4
70,70,2
54,54,2
2,2,1
10,10,2
84,84,2
25,25,2
69,69,2
47,44,2
9,9,1
22,14,2
48,45,2
56,56,2
47,47,2
31,31,2
34,34,2
28,23,2
58,58,2
38,38,2
25,25,2
42,42,2
29,49,2
36,36,2
102,102,3
197,197,3
4,4,1
6,6,1
301,301,3
6,8,1
17,17,2
5,5,1
12,12,2
236,236,3
1870,1570,4
48,48,2
278,278,3
30,30,2
50,50,2
19,12,2
41,41,2
16,16,2
102,102,3
9,9,1
3,4,1
397,397,3
3,23,2
17,17,2
13,13,2
110,110,3
288,288,3
49,49,2
35,35,2
12,12,2
145,145,3
16,16,2
64,64,2
257,257,3
53,53,2
23,23,2
1014,1004,4
29,29,2
203,205,3
40,40,2
52,52,2
197,197,3
65,65,2
771,271,3
188,188,3
95,95,2
197,197,3
20,20,2
712,712,3
8,8,1
37,37,2
84,84,2
2319,2319,4
70,70,2
27,27,2
33,33,2
108,108,3
9,9,1
15,15,2
2062,20,2
3901,3590,4
7,7,1
255,255,3
392,392,3
4,64,2
116,116,3
501,501,3
29,29,2
52,52,2
7,7,1
1,1,1
39,79,2
85,85,2
72,72,2
23,23,2
1261,161,3
97,97,2
80,80,2
1105,105,3
24,24,2
10,10,2
67,67,2
23,23,2
15,15,2
280,289,3
49,49,2
15,19,2
80,8,1
152,152,3
15,15,2
70,0,1
45,45,2
161,161,3
47,47,2
407,407,3
1,1,1
17,17,2
613,613,3
91,91,2
50,50,2
425,445,3
55,55,2
101,101,3
1363,333,3
36,36,2
44,44,2
39,59,2
154,154,3
12,12,2
75,75,2
10,10,2
74,74,2
52,52,2
7,7,1
68,68,2
57,57,2
725,725,3
397,397,3
14,14,2
4,4,1
35,35,2
16,6,1
5,9,1
104,104,3
6,6,1
19,19,2
17,17,2
314,314,3
8,2,1
158,158,3
7,7,1
129,129,3
29,29,2
25,25,2
35,35,2
136,136,3
90,90,2
50,30,2
41,41,2
2711,2711,4
33,33,2
17,17,2
26,26,2
67,67,2
24,24,2
49,49,2
23,23,2
95,95,2
69,69,2
10,10,2
3,3,1
33,33,2
59,59,2
27,27,2
35,35,2
15,15,2
13,13,2
245,245,3
12,12,2
445,445,3
35,35,2
31,31,2
42,42,2
25,25,2
27,27,2
38,38,2
92,97,2
181,181,3
4,4,1
30,30,2
5,5,1
10,10,2
45,45,2
24,24,2
196,196,3
75,75,2
83,83,2
66,66,2
13,13,2
256,256,3
31,31,2
100,100,3
412,412,3
1467,1447,4
79,779,3
28,48,2
1,1,1
4,4,1
12,132,3
66,66,2
35,35,2
32,32,2
58,58,2
1759,1759,4
13,13,2
16,16,2
14,14,2
249,249,3
16,18,2
21,21,2
26,26,2
5,5,1
27,27,2
851,851,3
107,107,3
3,3,1
90,280,3
208,108,3
26,26,2
31,31,2
106,106,3
9,9,1
14,14,2
12,12,2
163,163,3
32,32,2
126,126,3
327,327,3
47,47,2
143,143,3
39,39,2
88,88,2
96,26,2
11,11,2
31,31,2
52,52,2
35,35,2
68,68,2
11,11,2
1,1,1
366,360,3
717,717,3
10,19,2
37,37,2
28,28,2
421,429,3
142,142,3
2,2,1
26,226,3
73,73,2
37,37,2
37,37,2
38,38,2
22,22,2
5,5,1
30,30,2
160,160,3
61,61,2
23,23,2
5761,576,3
16,16,2
30,30,2
2,2,1
45,45,2
7,7,1
136,136,3
13,13,2
33,33,2
1,1,1
691,691,3
8,8,1
43,43,2
13,13,2
34,34,2
127,127,3
29,29,2
54,54,2
10,10,2
935,935,3
557,557,3
191,191,3
24,24,2
120,120,3
92,92,2
4,4,1
46,46,2
365,365,3
71,71,2
4,4,1
115,115,3
2,2,1
5,5,1
8,8,1
12,15,2
497,497,3
79,79,2
112,112,3
75,75,2
306,300,3
29,29,2
3,3,1
63,63,2
57,52,2
35,35,2
244,244,3
24,74,2
182,182,3
25,25,2
57,57,2
373,373,3
16,16,2
335,335,3
10,10,2
92,92,2
143,143,3
95,95,2
21,21,2
12,12,2
114,114,3
2155,2155,4
25,63,2
55,55,2
4,4,1
125,123,3
8,8,1
1300,1300,4
214,214,3
10,12,2
114,114,3
98,98,2
525,31,2
381,381,3
200,200,3
49,49,2
253,253,3
951,951,3
319,319,3
8,8,1
22,22,2
84,84,2
32,32,2
11,11,2
36,36,2
7,7,1
4,4,1
7,7,1
1068,1068,4
2695,2695,4
209,209,3
56,56,2
55,55,2
54,54,2
233,233,3
31,31,2
47,47,2
1,1,1
99,99,2
790,790,3
95,95,2
201,201,3
48,48,2
10,1,1
26,26,2
120,120,3
39,39,2
42,42,2
14,14,2
3,3,1
6,6,1
172,172,3
115,115,3
257,257,3
39,39,2
10,10,2
45,45,2
11,11,2
9,9,1
157,157,3
575,315,3
71,70,2
115,115,3
132,112,3
93,93,2
27,27,2
76,76,2
62,62,2
38,38,2
14,14,2
2,2,1
33,33,2
110,110,3
22,22,2
30,30,2
68,68,2
108,108,3
8,8,1
8,1,1
67,67,2
5,5,1
14,14,2
1,1,1
332,112,3
12,12,2
21,21,2
195,195,3
2,2,1
9,9,1
35,35,2
65,65,2
9,9,1
304,304,3
3,5,1
211,221,3
27,27,2
10,10,2
22,22,2
1322,1322,4
0,0,1
117,117,3
155,155,3
10,10,2
30,20,2
44,44,2
3,3,1
112,112,3
4,4,1
7,7,1
29,29,2
185,165,3
801,801,3
342,347,3
10,10,2
12,12,2
17,17,2
115,115,3
87,87,2
162,162,3
7,7,1
219,219,3
120,122,3
52,52,2
1493,449,3
4,4,1
39,39,2
150,150,3
12,52,2
422,422,3
11,11,2
18,18,2
325,125,3
35,35,2
59,59,2
373,373,3
34,34,2
14,14,2
644,644,3
599,599,3
31,31,2
50,50,2
6,12,2
11,11,2
31,31,2
44,44,2
37,37,2
12,12,2
55,55,2
145,148,3
10,10,2
115,115,3
15,15,2
67,67,2
1,1,1
100,100,3
255,255,3
73,73,2
8,8,1
168,168,3
20,20,2
28,28,2
15,15,2
17,17,2
5,5,1
45,45,2
46,46,2
57,51,2
11,11,2
14,14,2
105,105,3
252,252,3
105,105,3
53,53,2
25,25,2
10,10,2
41,41,2
264,264,3
1,4,1
51,51,2
14,14,2
202,202,3
14,14,2
10,10,2
70,70,2
15,15,2
11,11,2
54,54,2
44,144,3
14,14,2
105,105,3
55,55,2
32,42,2
20,20,2
150,150,3
16,16,2
925,59,2
2,2,1
131,131,3
72,72,2
4,4,1
103,23,3
921,941,3
36,86,2
42,42,2
15,15,2
25,25,2
48,48,2
147,147,3
11,11,2
204,204,3
3,3,1
6,6,1
7,7,1
19,19,2
20,20,2
20,20,2
616,616,3
62,62,2
64,64,2
90,90,2
4,4,1
13,17,2
13,13,2
108,198,3
27,27,2
49,49,2
19,19,2
9,9,1
10,10,2
744,244,3
2338,10,2
51,51,2
33,33,2
3330,3330,4
4,4,1
25,25,2
66,66,2
4,1,1
377,337,3
40,40,2
77,77,2
10,10,2
85,85,2
45,45,2
44,44,2
204,204,3
138,138,3
6,6,1
23,23,2
579,579,3
65,65,2
216,216,3
7,7,1
6,6,1
48,48,2
108,108,3
16,18,2
133,133,3
27,27,2
87,87,2
5,5,1
85,85,2
184,184,3
37,37,2
36,36,2
53,53,2
36,36,2
35,35,2
14,14,2
67,67,2
794,794,3
224,224,3
4,4,1
107,107,3
155,155,3
209,5,1
26,26,2
22,8,1
56,56,2
26,26,2
29,29,2
1525,1525,4
3062,282,3
22,22,2
16,16,2
12,12,2
454,454,3
119,119,3
29,29,2
214,214,3
43,93,2
98,98,2
4,4,1
41,41,2
3,3,1
6,6,1
111,111,3
49,49,2
33,33,2
14,14,2
659,659,3
114,114,3
12,12,2
192,192,3
490,490,3
43,43,2
57,54,2
3,3,1
31,31,2
128,128,3
39,39,2
17,17,2
29,29,2
71,71,2
529,529,3
270,270,3
262,2282,4
13,13,2
23,23,2
29,21,2
92,92,2
7,7,1
25,25,2
90,90,2
27,27,2
25,25,2
2,2,1
28,28,2
46,46,2
84,84,2
36,36,2
166,166,3
206,206,3
2326,2326,4
200,200,3
34,34,2
14,14,2
12,12,2
589,589,3
50,50,2
535,535,3
56,56,2
171,171,3
13,13,2
103,103,3
97,97,2
443,443,3
11,11,2
399,399,3
748,748,3
433,433,3
21,21,2
134,154,3
4046,4046,4
7,7,1
26,24,2
11,48,2
526,526,3
2218,2218,4
810,810,3
185,185,3
279,279,3
13,134,3
154,154,3
257,257,3
27,27,2
2,2,1
96,95,2
174,174,3
47,47,2
620,620,3
9,9,1
29,29,2
2191,2491,4
46,46,2
20,20,2
73,73,2
152,152,3
3,1,1
402,402,3
97,97,2
10,10,2
185,185,3
326,328,3
510,510,3
1,1,1
87,87,2
24,24,2
216,216,3
13,13,2
91,91,2
106,106,3
532,182,3
81,18,2
14,11,2
14,14,2
20,20,2
93,93,2
19,19,2
20,20,2
324,324,3
82,82,2
344,344,3
1417,1417,4
285,285,3
49,49,2
127,127,3
28,28,2
19,19,2
182,182,3
263,263,3
229,229,3
28,28,2
263,4,1
20,20,2
32,32,2
23,23,2
63,63,2
22,22,2
450,450,3
85,85,2
12,12,2
99,99,2
42,42,2
83,83,2
218,218,3
15,15,2
309,309,3
309,309,3
539,259,3
434,434,3
34,34,2
77,77,2
25,25,2
14,14,2
23,23,2
202,202,3
308,308,3
47,47,2
13,12,2
32,32,2
39,39,2
66,66,2
69,31,2
6,6,1
13,13,2
389,389,3
6,6,1
66,66,2
36,36,2
112,112,3
47,47,2
133,133,3
477,477,3
21,21,2
192,192,3
3,3,1
48,46,2
5,5,1
30,30,2
43,43,2
76,76,2
718,118,3
15,13,2
55,55,2
189,189,3
38,38,2
2,2,1
39,39,2
21,21,2
4,4,1
90,90,2
53,53,2
63,63,2
100,100,3
15,15,2
13,13,2
117,117,3
41,41,2
44,11,2
1314,1314,4
53,53,2
752,762,3
117,117,3
325,325,3
29,29,2
2,2,1
123,123,3
374,45,2
17,17,2
43,43,2
4,4,1
509,509,3
9,9,1
74,74,2
7,7,1
17,17,2
59,59,2
198,198,3
146,146,3
247,247,3
31,31,2
268,268,3
9,9,1
54,54,2
29,29,2
59,59,2
32,52,2
26,26,2
1,1,1
32,52,2
16,16,2
5,2,1
91,91,2
20,20,2
190,190,3
28,28,2
2,2,1
234,234,3
10,10,2
43,43,2
443,403,3
5,5,1
14,18,2
13,13,2
46,10,2
1992,1992,4
9,9,1
34,34,2
768,768,3
1187,1187,4
10,10,2
36,36,2
1257,257,3
89,89,2
1,1,1
22,22,2
81,81,2
7,7,1
32,32,2
132,132,3
80,280,3
55,55,2
5,5,1
12,12,2
386,386,3
25,25,2
17,17,2
73,73,2
134,54,2
45,49,2
4,4,1
26,26,2
81,81,2
5,5,1
16,16,2
7,7,1
260,260,3
96,96,2
102,102,3
11,11,2
30,30,2
107,107,3
39,39,2
34,34,2
339,339,3
5,5,1
1055,1055,4
11,11,2
2,2,1
35,35,2
118,18,2
203,203,3
1,1,1
42,42,2
2,2,1
45,45,2
78,78,2
79,79,2
112,12,2
7,7,1
35,35,2
2,2,1
1077,1077,4
20,20,2
15,15,2
6,6,1
177,177,3
56,56,2
13,13,2
315,456,3
549,549,3
41,41,2
368,368,3
13,13,2
23,23,2
57,57,2
300,300,3
3,28,2
5,5,1
59,59,2
13,13,2
26,26,2
60,60,2
85,85,2
188,188,3
48,48,2
5,1,1
9,9,1
31,31,2
223,223,3
122,122,3
2138,2258,4
28,28,2
17,17,2
16,16,2
226,226,3
5,5,1
22,22,2
35,35,2
33,33,2
31,31,2
12,12,2
382,383,3
155,155,3
1,1,1
9,9,1
140,140,3
23,21,2
56,56,2
0,1,1
82,82,2
44,44,2
1671,1671,4
22,22,2
1,1,1
69,99,2
7,7,1
50,50,2
63,63,2
38,38,2
28,28,2
44,44,2
32,32,2
27,27,2
60,60,2
36,72,2
28,28,2
38,38,2
52,32,2
92,97,2
2510,2511,4
144,144,3
139,139,3
57,57,2
130,130,3
6,6,1
62,62,2
5,5,1
62,44,2
179,179,3
19,19,2
22,22,2
123,123,3
1534,1534,4
7,7,1
2,2,1
34,34,2
263,263,3
54,54,2
430,430,3
8,8,1
63,63,2
2,2,1
118,118,3
25,25,2
96,96,2
61,61,2
35,35,2
4,4,1
219,219,3
43,43,2
66,66,2
100,100,3
3,3,1
12,12,2
207,101,3
1,1,1
50,50,2
95,95,2
4,4,1
48,48,2
114,119,3
140,140,3
87,87,2
21,21,2
10,10,2
346,346,3
90,10,2
37,37,2
69,99,2
624,624,3
87,87,2
8,8,1
152,152,3
40,40,2
60,60,2
39,39,2
11,11,2
40,40,2
253,251,3
46,46,2
75,75,2
25,123,3
6,6,1
89,89,2
13,13,2
1,1,1
39,59,2
81,81,2
37,47,2
85,85,2
3,3,1
13,13,2
3,3,1
277,277,3
7,7,1
441,441,3
38,38,2
1304,304,3
5,5,1
54,54,2
34,34,2
7,7,1
67,67,2
12,12,2
14,14,2
128,128,3
3,3,1
2882,2882,4
4346,1446,4
243,243,3
30,30,2
34,34,2
480,480,3
4,4,1
15,15,2
61,61,2
72,72,2
8,8,1
3,3,1
60,60,2
54,54,2
10,10,2
541,541,3
379,373,3
71,71,2
3,3,1
2426,2426,4
12,12,2
1,1,1
130,130,3
96,96,2
51,51,2
34,34,2
62,61,2
478,478,3
15,15,2
107,107,3
746,716,3
1,1,1
49,49,2
536,536,3
15,15,2
213,213,3
48,48,2
7,7,1
3,3,1
85,85,2
20,26,2
467,467,3
105,105,3
181,181,3
7,7,1
8,8,1
15,15,2
293,293,3
10,10,2
32,32,2
92,92,2
85,85,2
76,76,2
45,45,2
276,276,3
28,28,2
4,4,1
37,37,2
63,63,2
12,19,2
23,23,2
38,38,2
51,51,2
11,11,2
3023,3023,4
254,254,3
102,102,3
460,460,3
30,30,2
130,130,3
85,85,2
1059,1609,4
47,15,2
200,200,3
25,25,2
46,46,2
339,339,3
333,333,3
116,116,3
8,8,1
554,654,3
35,35,2
74,74,2
11,11,2
9,9,1
5,5,1
11,17,2
35,35,2
92,92,2
42,42,2
6,6,1
187,189,3
81,81,2
26,26,2
200,200,3
31,31,2
48,48,2
186,186,3
49,49,2
7,7,1
19,19,2
138,138,3
27,27,2
34,34,2
155,155,3
17,17,2
550,550,3
41,41,2
18,18,2
12,12,2
11,11,2
45,45,2
1,1,1
170,170,3
25,25,2
278,275,3
105,105,3
51,51,2
14,14,2
119,119,3
36,36,2
34,34,2
35,33,2
96,96,2
8,9,1
71,71,2
1267,1267,4
70,70,2
149,149,3
54,54,2
164,164,3
26,26,2
1210,1210,4
7,7,1
22,22,2
3,5,1
32,32,2
121,126,3
119,119,3
60,60,2
36,36,2
257,257,3
22,22,2
165,65,2
51,51,2
37,37,2
145,145,3
48,4,1
79,79,2
256,230,3
530,530,3
128,128,3
432,439,3
54,54,2
12,12,2
34,34,2
120,120,3
735,732,3
69,69,2
48,48,2
79,77,2
6,6,1
44,44,2
19,19,2
18,18,2
95,95,2
5,5,1
19,19,2
4,4,1
22,22,2
3,3,1
4,4,1
29,29,2
40,40,2
74,74,2
49,49,2
220,220,3
38,38,2
3004,3004,4
21,21,2
22,22,2
14,14,2
38,38,2
60,60,2
98,28,2
84,84,2
38,38,2
1023,1023,4
146,146,3
39,39,2
101,101,3
262,222,3
11,11,2
25,25,2
222,222,3
350,350,3
81,81,2
557,557,3
16,16,2
4,4,1
32,2,1
46,46,2
53,53,2
28,28,2
22,22,2
6,6,1
54,54,2
10,10,2
28,28,2
177,177,3
75,75,2
353,153,3
16,16,2
57,57,2
57,57,2
328,328,3
1886,1886,4
11,11,2
78,78,2
15,15,2
179,79,2
73,73,2
119,119,3
43,43,2
11,11,2
277,277,3
178,178,3
3019,3319,4
11,11,2
13,13,2
1397,1397,4
42,42,2
68,68,2
8,8,1
85,85,2
40,1,1
194,114,3
78,78,2
66,66,2
18,18,2
283,283,3
22,22,2
18,18,2
65,65,2
351,351,3
17,17,2
223,223,3
249,240,3
3188,3366,4
11,11,2
17,17,2
541,541,3
23,73,2
435,435,3
385,385,3
114,114,3
642,642,3
10,19,2
19,19,2
217,214,3
28,58,2
43,43,2
113,113,3
8,8,1
136,136,3
31,31,2
46,446,3
7,7,1
59,59,2
156,156,3
281,331,3
191,191,3
496,196,3
308,300,3
163,163,3
9,9,1
191,191,3
83,83,2
2388,2388,4
34,34,2
251,251,3
91,91,2
83,83,2
22,22,2
22,22,2
5,5,1
50,50,2
21,21,2
757,757,3
2,2,1
21,21,2
76,76,2
440,130,3
10,10,2
340,340,3
22,22,2
63,63,2
3,3,1
24,24,2
11,48,2
4,4,1
28,28,2
5,5,1
67,162,3
3,3,1
100,100,3
2587,2587,4
29,29,2
6,6,1
84,84,2
22,22,2
2434,244,3
3,3,1
11,11,2
16,16,2
189,189,3
205,273,3
12,12,2
73,73,2
1239,1225,4
92,92,2
202,202,3
60,60,2
26,26,2
805,805,3
679,679,3
297,297,3
13,13,2
19,19,2
39,31,2
103,103,3
217,217,3
90,59,2
104,104,3
88,88,2
2423,2422,4
11,11,2
27,27,2
12,12,2
73,73,2
108,108,3
26,26,2
13,13,2
9,9,1
23,23,2
99,99,2
26,26,2
101,101,3
7,7,1
22,22,2
10,10,2
65,65,2
84,84,2
58,58,2
97,97,2
212,212,3
18,18,2
22,22,2
116,116,3
41,41,2
258,258,3
10,10,2
297,297,3
42,42,2
15,15,2
250,250,3
37,37,2
12,12,2
12,12,2
18,18,2
38,38,2
39,39,2
225,225,3
883,888,3
10,10,2
19,19,2
1,1,1
1,1,1
86,86,2
89,89,2
122,122,3
90,90,2
58,58,2
42,42,2
25,25,2
8,8,1
44,44,2
74,77,2
466,466,3
185,185,3
31,31,2
10,10,2
143,143,3
285,285,3
18,18,2
41,41,2
40,40,2
19,19,2
1,1,1
260,260,3
110,110,3
128,128,3
95,95,2
256,55,2
198,198,3
131,131,3
3,3,1
281,281,3
131,131,3
31,31,2
3722,3722,4
9,9,1
30,30,2
13,13,2
20,20,2
1066,1066,4
64,64,2
26,26,2
228,228,3
3,4,1
46,46,2
94,94,2
5,5,1
5,5,1
497,197,3
2,2,1
42,42,2
208,208,3
47,47,2
99,99,2
38,38,2
97,97,2
29,29,2
55,55,2
7,7,1
8,8,1
339,339,3
80,80,2
49,49,2
41,41,2
2,2,1
25,25,2
129,129,3
12,12,2
351,331,3
47,47,2
10,40,2
38,38,2
2458,2458,4
213,243,3
6,6,1
21,21,2
17,17,2
137,137,3
93,33,2
56,56,2
97,97,2
56,56,2
10,10,2
50,50,2
7,7,1
15,15,2
22,22,2
102,102,3
276,276,3
4,4,1
609,609,3
10,10,2
130,130,3
172,4,1
15,15,2
65,65,2
74,74,2
4,4,1
494,494,3
237,237,3
87,87,2
187,187,3
146,146,3
74,74,2
200,200,3
9,9,1
4,4,1
22,22,2
15,15,2
50,50,2
2,2,1
409,409,3
47,47,2
5,5,1
23,229,3
226,226,3
8,8,1
19,19,2
2,2,1
31,31,2
1786,1785,4
3,3,1
9,9,1
56,56,2
44,44,2
24,24,2
120,20,2
68,68,2
6,6,1
34,34,2
454,454,3
15,15,2
153,153,3
402,402,3
10,10,2
50,50,2
2342,2312,4
68,68,2
371,377,3
62,62,2
232,232,3
28,28,2
33,33,2
8,8,1
9,9,1
11,11,2
12,12,2
35,35,2
327,327,3
1,1,1
60,60,2
55,55,2
251,533,3
609,168,3
8,8,1
126,126,3
21,21,2
58,58,2
22,22,2
532,532,3
1,1,1
259,259,3
69,69,2
66,166,3
248,342,3
32,112,3
46,46,2
13,13,2
23,23,2
125,125,3
40,40,2
43,48,2
40,40,2
23,23,2
7,17,2
2,2,1
4,4,1
4,4,1
31,31,2
1923,1923,4
85,85,2
82,82,2
2216,238,3
495,495,3
460,460,3
105,105,3
59,59,2
82,82,2
13,13,2
584,584,3
10,10,2
20,20,2
11,11,2
46,46,2
8,8,1
62,62,2
19,19,2
7,1,1
36,36,2
218,218,3
2555,2355,4
46,46,2
1139,159,3
39,39,2
28,208,3
6,6,1
3,3,1
2,2,1
2,2,1
97,97,2
23,23,2
11150,1150,4
86,86,2
9,9,1
0,10,2
17,17,2
70,70,2
200,200,3
20,20,2
24,24,2
219,219,3
169,169,3
28,28,2
59,59,2
7,3,1
29,29,2
51,51,2
1300,1500,4
7,7,1
71,71,2
754,754,3
6,6,1
2289,2288,4
95,95,2
24,24,2
13,13,2
4,1,1
9,1,1
128,128,3
56,56,2
105,105,3
60,60,2
47,47,2
15,15,2
83,83,2
79,79,2
1,1,1
48,48,2
70,70,2
84,84,2
24,24,2
35,35,2
155,155,3
39,39,2
4,4,1
58,38,2
63,53,2
371,371,3
549,549,3
6,6,1
2570,2570,4
160,160,3
41,41,2
1193,1191,4
2,2,1
284,284,3
149,149,3
96,96,2
95,95,2
2392,2464,4
22,22,2
78,78,2
42,49,2
3,3,1
79,79,2
48,48,2
29,19,2
23,25,2
17,17,2
3,3,1
13,13,2
97,97,2
2562,2557,4
16,16,2
170,177,3
32,32,2
105,115,3
44,44,2
185,185,3
216,216,3
9,9,1
28,28,2
320,320,3
47,47,2
10,10,2
18,18,2
41,41,2
22,22,2
8,8,1
363,363,3
92,92,2
113,115,3
3060,3061,4
11,11,2
358,358,3
60,60,2
128,128,3
272,272,3
742,742,3
6,6,1
122,128,3
37,37,2
72,72,2
29,29,2
938,738,3
17,17,2
61,61,2
26,26,2
69,69,2
51,51,2
6,6,1
104,104,3
399,399,3
114,114,3
16,45,2
33,33,2
94,94,2
22,22,2
48,48,2
75,75,2
645,645,3
84,84,2
23,23,2
44,44,2
19,19,2
2,2,1
147,147,3
67,57,2
96,96,2
10,10,2
23,23,2
42,42,2
17,17,2
1,1,1
90,90,2
4,4,1
81,81,2
49,49,2
15,15,2
2,2,1
43,43,2
5,5,1
32,33,2
4,4,1
18,19,2
1,1,1
34,34,2
58,58,2
96,96,2
28,28,2
31,31,2
22,22,2
22,22,2
43,43,2
23,23,2
138,138,3
70,70,2
29,29,2
16,16,2
9,9,1
180,180,3
74,74,2
22,22,2
136,136,3
1,1,1
23,25,2
48,48,2
64,64,2
174,174,3
25,25,2
226,226,3
6622,3622,4
15,15,2
255,255,3
32,32,2
2,2,1
80,80,2
125,125,3
16,16,2
293,293,3
605,605,3
8,8,1
96,196,3
99,99,2
71,71,2
5,5,1
4,4,1
40,40,2
5,6,1
45,45,2
30,30,2
54,54,2
682,682,3
8,8,1
13,13,2
180,180,3
124,124,3
2263,2223,4
47,47,2
89,89,2
91,91,2
1215,1215,4
2,2,1
2,2,1
56,56,2
19,19,2
13,13,2
39,39,2
108,100,3
2958,1759,4
9,9,1
246,246,3
401,401,3
99,99,2
306,306,3
607,867,3
231,5,1
19,19,2
27,27,2
18,18,2
36,36,2
134,134,3
4,4,1
2326,2326,4
608,608,3
197,197,3
72,72,2
159,160,3
17,17,2
62,62,2
5,5,1
31,31,2
22,22,2
1288,1288,4
424,421,3
658,658,3
8,3,1
45,45,2
226,226,3
45,45,2
401,461,3
160,160,3
99,99,2
30,30,2
10,17,2
47,47,2
193,193,3
159,150,3
1,1,1
90,90,2
56,56,2
18,18,2
43,43,2
300,822,3
24,24,2
69,69,2
53,53,2
30,30,2
1,1,1
65,65,2
41,41,2
911,911,3
172,172,3
60,60,2
38,38,2
27,27,2
31,31,2
6,6,1
31,31,2
16,16,2
17,17,2
71,71,2
2,2,1
29,29,2
29,29,2
501,501,3
34,34,2
26,26,2
37,37,2
4,4,1
85,85,2
2234,2234,4
2758,2758,4
70,70,2
54,54,2
122,122,3
230,230,3
10,10,2
1,1,1
230,230,3
19,19,2
18,18,2
480,480,3
21,21,2
48,48,2
18,13,2
15,15,2
35,35,2
156,156,3
77,77,2
7,7,1
403,193,3
31,31,2
60,60,2
89,89,2
39,39,2
10,10,2
134,234,3
62,52,2
1,3,1
141,141,3
29,29,2
34,34,2
7,7,1
162,162,3
49,49,2
294,294,3
150,150,3
98,98,2
19,19,2
333,333,3
11,11,2
42,42,2
421,127,3
323,898,3
57,57,2
2,2,1
0,0,1
66,66,2
101,101,3
292,292,3
41,41,2
9,9,1
22,22,2
3,3,1
40,40,2
128,128,3
59,59,2
52,32,2
462,462,3
42,42,2
4,4,1
26,96,2
199,199,3
16,16,2
105,105,3
2563,2563,4
146,146,3
133,133,3
36,36,2
286,286,3
31,31,2
71,71,2
6,6,1
13,13,2
41,41,2
34,34,2
2430,2430,4
2378,2378,4
15,15,2
693,693,3
22,22,2
4,4,1
41,41,2
89,89,2
276,276,3
2,2,1
2,2,1
8,8,1
7,7,1
20,20,2
2,2,1
348,348,3
11,11,2
49,49,2
14,14,2
27,27,2
20,220,3
25,25,2
138,138,3
2,2,1
19,19,2
15,15,2
22,22,2
143,143,3
56,56,2
14,14,2
1,1,1
122,112,3
110,110,3
1969,295,3
386,386,3
187,187,3
101,101,3
2601,2601,4
27,27,2
91,91,2
2,2,1
103,103,3
101,101,3
108,108,3
179,179,3
10,10,2
129,129,3
51,51,2
168,168,3
193,193,3
60,60,2
17,17,2
52,52,2
31,31,2
265,265,3
31,31,2
35,35,2
77,77,2
520,120,3
120,120,3
14,19,2
2,2,1
27,27,2
58,58,2
19,19,2
7,7,1
15,15,2
7,7,1
152,152,3
79,79,2
2,2,1
1783,1783,4
857,857,3
4,4,1
22,22,2
3,3,1
15,15,2
77,77,2
28,28,2
3,1,1
1,1,1
33,33,2
28,28,2
970,970,3
27,27,2
231,231,3
1514,1514,4
327,327,3
7,7,1
226,226,3
84,234,3
20,70,2
21,21,2
17,7,1
41,41,2
200,200,3
5,5,1
3,3,1
15,15,2
4,4,1
55,55,2
8,8,1
10,10,2
700,700,3
22,22,2
74,74,2
58,58,2
56,56,2
1,1,1
6,6,1
21,21,2
6,6,1
44,44,2
276,276,3
65,65,2
14,14,2
244,244,3
3,3,1
41,41,2
92,77,2
3,3,1
2,2,1
14,14,2
10,10,2
60,60,2
25,216,3
24,24,2
508,508,3
231,231,3
1526,1526,4
3,3,1
219,219,3
69,69,2
402,402,3
611,1,1
1990,1990,4
18,18,2
43,43,2
56,56,2
35,35,2
130,130,3
16,16,2
8,16,2
4,4,1
58,58,2
180,180,3
132,132,3
32,32,2
72,72,2
24,24,2
674,74,2
373,373,3
8,1,1
34,34,2
86,86,2
70,70,2
110,110,3
50,50,2
7,7,1
193,193,3
126,126,3
7,7,1
464,264,3
714,144,3
35,35,2
117,117,3
95,95,2
531,531,3
5,5,1
345,145,3
2,2,1
15,15,2
74,74,2
57,57,2
2262,2282,4
6,6,1
4,4,1
18,18,2
5,5,1
125,125,3
19,19,2
33,33,2
40,40,2
3,3,1
75,75,2
37,37,2
72,12,2
342,342,3
95,95,2
360,360,3
91,91,2
114,114,3
18,18,2
346,346,3
17,67,2
5,5,1
80,60,2
22,22,2
1255,1255,4
84,84,2
673,673,3
148,148,3
20,20,2
117,117,3
10,10,2
42,42,2
70,70,2
6,6,1
79,79,2
49,49,2
251,251,3
105,105,3
38,38,2
629,629,3
401,401,3
326,326,3
131,131,3
3,3,1
140,140,3
